park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,condition,clase,comuna,temp_am_c,temp_af_c,temp_pm_c,area_ha,stgohot_decile_mean,woody_decile,temp_decile,length_decile,priority_score,sampling_priority
458,Plaza en Isabel la Católica,4963.3650106,Lawn Park,0.095631904900074,0.03439562767744064,0.13002753257751465,0.7349090773169605,0.2643224458048629,High Woody Cover,Good condition,PLAZA,LAS CONDES,18.832780838012695,31.803030014038086,29.899999618530273,0.5,7,9,7,NA,8,P5 — Intermediate
470,Plaza El Pinar,5765.67625051,Lawn Park,0.0670856460928917,0.02529761753976345,0.09238326363265514,0.7253814739860052,0.2735372492935149,High Woody Cover,Good condition,PLAZA,SAN JOAQUIN,19.608430862426758,31.59830093383789,29.200000762939453,0.58,7,8,8,NA,8,P1 — Forest + Hot
488,Plaza Guillermo Franke,6602.40037398,Lawn Park,0.07580012083053589,0.029120609164237976,0.10492072999477386,0.7217634159875667,0.2772843910501013,High Woody Cover,Good condition,PLAZA,NUNOA,19.581018447875977,31.799999237060547,29.339393615722656,0.66,7,8,8,NA,8,P1 — Forest + Hot
501,Plaza Polux,6517.58231096,Lawn Park,0.08987246453762054,0.03539910539984703,0.12527156993746758,0.7168488404703462,0.28235353052931605,High Woody Cover,Good condition,PLAZA,LO ESPEJO,18.4962215423584,31.748981475830078,28.50554847717285,0.65,7,7,9,NA,8,P5 — Intermediate
505,Plaza Astaburuaga,5767.92602654,Lawn Park,0.06918340176343918,0.027689041569828987,0.09687244333326817,0.7134336249080006,0.28553515429810516,High Woody Cover,NA,NA,NA,19.112409591674805,31.358678817749023,28.502485275268555,0.58,7,7,9,NA,8,P5 — Intermediate
387,Plaza El Golf,7706.86395693,Lawn Park,0.09595662355422974,0.029744034633040428,0.12570065818727016,0.7627672616099209,0.236437829989432,High Woody Cover,Good condition,PLAZA,LAS CONDES,19.122766494750977,31.34459686279297,29.244314193725586,0.77,7,10,5,NA,7.5,P5 — Intermediate
465,Plaza Gaspar de Orense,5494.04420553,Lawn Park,0.06549446284770966,0.02601676993072033,0.09151123277842999,0.7149173836151066,0.2839910471857117,High Woody Cover,Poor condition,PLAZA,ESTACION CENTRA,18.723773956298828,31.29279136657715,29.05856704711914,0.55,7,7,8,NA,7.5,P5 — Intermediate
474,Plaza Castelar,5252.35832799,Lawn Park,0.07804761081933975,0.03069715015590191,0.10874476097524166,0.7170543636647135,0.28202689666326175,High Woody Cover,Good condition,PLAZA,LA CISTERNA,19.421607971191406,31.488088607788086,28.575632095336914,0.53,7,7,8,NA,7.5,P5 — Intermediate
521,Plaza en Rodrigo De Araya,7562.22428139,Lawn Park,0.07463102787733078,0.030664142221212387,0.10529517009854317,0.7081067169164554,0.2909444730013889,High Woody Cover,Good condition,PLAZA,NUNOA,19.54426383972168,31.843856811523438,29.474197387695312,0.76,7,5,10,NA,7.5,P5 — Intermediate
531,Plaza en Calle Ramón Cruz Montt,7977.23782254,Lawn Park,0.07016091048717499,0.02911827713251114,0.09927918761968613,0.705991990553128,0.2930017625415069,High Woody Cover,Good condition,PLAZA,MACUL,18.200992584228516,32.20615768432617,30.043569564819336,0.8,7,5,10,NA,7.5,P5 — Intermediate
545,PLAZA SAN JUDAS TADEO,5196.65845369,Lawn Park,0.07150962203741074,0.029329653829336166,0.1008392758667469,0.7084419956787963,0.2905673096769107,High Woody Cover,Good condition,PLAZA,PENALOLEN,18.80093002319336,31.530773162841797,29.75342559814453,0.52,7,5,10,NA,7.5,P5 — Intermediate
