condition,park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,clase,comuna,temp_am_c,temp_af_c,temp_pm_c,area_ha,stgohot_decile_mean,woody_decile,temp_decile,length_decile,priority_score,sampling_priority
Good condition,514,Plaza Augusto D'Halmar,5394.90843313,Lawn Park,0.07568202167749405,0.03290849179029465,0.1085905134677887,0.6963075181342576,0.30277243836967743,High Woody Cover,PLAZA,NUNOA,19.065475463867188,32.1988525390625,29.49185562133789,0.54,7,2,9,NA,5.5,P2 — Grass + Hot
Good condition,54,PLAZA LA PAZ,7050.98217854,Lawn Park,0.06884143501520157,0.02496354840695858,0.09380498342216015,0.733096716557814,0.2658383772321455,High Woody Cover,VEREDA,INDEPENDENCIA,19.74510383605957,31.918516159057617,29.400001525878906,0.71,7,8,2,NA,5,P3 — Forest + Cool
Good condition,208,PLAZA CENTRAL,5766.87884537,Lawn Park,0.06427394598722458,0.025650765746831894,0.08992471173405647,0.7139589202695514,0.28493027361872875,High Woody Cover,PLAZA,INDEPENDENCIA,19.84164047241211,32.258338928222656,29.313962936401367,0.58,7,6,4,NA,5,P5 — Intermediate
Good condition,389,Plaza Genral Blanche,6282.22202981,Lawn Park,0.10224441438913345,0.03582671657204628,0.13807113096117973,0.7399839147141368,0.2592923451000201,High Woody Cover,PLAZA,LAS CONDES,17.743051528930664,31.01827049255371,28.958877563476562,0.63,6,9,1,NA,5,P3 — Forest + Cool
Good condition,399,Plaza Renacimiento,5318.74127481,Lawn Park,0.09122620522975922,0.03715416043996811,0.12838036566972733,0.7100400497323152,0.28918162122512087,High Woody Cover,PLAZA,LAS CONDES,18.386838912963867,31.299999237060547,29.299999237060547,0.53,7,5,5,NA,5,P5 — Intermediate
Good condition,486,Plaza Uruguay,7532.24618102,Lawn Park,0.07417856156826019,0.03214791417121887,0.10632647573947906,0.6969934976503552,0.3020668865321973,High Woody Cover,PLAZA,PROVIDENCIA,19.44443130493164,31.9002628326416,29.52110481262207,0.75,7,2,8,NA,5,P2 — Grass + Hot
Good condition,512,Plaza Islote Snipe,5370.5906957,Lawn Park,0.06356742233037949,0.02798973210155964,0.09155715443193913,0.693534757044875,0.305374220649013,High Woody Cover,PLAZA,EL BOSQUE,18.342321395874023,31.352724075317383,28.200000762939453,0.54,7,1,9,NA,5,P2 — Grass + Hot
Good condition,544,Plaza Pedro Aguirre Cerda,9339.64371629,Lawn Park,0.084571734070777893,0.030925290659070015,0.11549702472984791,0.7316082249385171,0.2675267008934089,High Woody Cover,PLAZA,SAN BERNARDO,18.299999237060547,31.09414291381836,27.900821685791016,0.93,6,8,2,NA,5,P3 — Forest + Cool
Good condition,404,Plaza Juan Antonio Ríos 1,5431.21501556,Lawn Park,0.0736805722117424,0.03138431906700134,0.10506489127874374,0.7006194873196712,0.29842962499543646,High Woody Cover,PLAZA,INDEPENDENCIA,20.117340087890625,31.902090072631836,29.59111785888672,0.54,7,3,6,NA,4.5,P5 — Intermediate
Good condition,428,Plaza El Cobre,6906.09570354,Lawn Park,0.06666163355112076,0.02899482659995556,0.09565646015107632,0.696158081093931,0.3027976029419844,High Woody Cover,PLAZA,PUDAHUEL,18.86650276184082,32.20000076293945,29.899999618530273,0.69,7,2,7,NA,4.5,P5 — Intermediate
Good condition,429,Plaza Bolivar,5041.50918049,Lawn Park,0.07990962266921997,0.035080425441265106,0.11499004811048508,0.6943226106961714,0.30480850444678165,High Woody Cover,PLAZA,QUINTA NORMAL,18.80134391784668,31.741456985473633,29,0.5,7,2,7,NA,4.5,P5 — Intermediate
Good condition,453,Plaza El Llano,5117.65822213,Lawn Park,0.07046029716730118,0.030202915892004967,0.10066321305930614,0.6992660816187988,0.2997414927035768,High Woody Cover,PLAZA,SAN MIGUEL,19.86363410949707,32.082950592041016,28.281455993652344,0.51,7,2,7,NA,4.5,P5 — Intermediate
Good condition,454,Plaza Vía Láctea,5601.75973946,Lawn Park,0.08354692906141281,0.02976188436150551,0.11330881342291832,0.7366881509451465,0.26243008337031987,High Woody Cover,PLAZA,LAS CONDES,17.561941146850586,30.436443328857422,29.11528778076172,0.56,6,8,1,NA,4.5,P3 — Forest + Cool
Good condition,460,Plaza Vicuña Mackenna,6712.03045196,Lawn Park,0.07546713203191757,0.032454486936330795,0.10792161896824837,0.6986298923560867,0.3004443670287,High Woody Cover,PARQUE,SAN RAMON,19.80173110961914,31.820293426513672,29.686302185058594,0.67,7,2,7,NA,4.5,P5 — Intermediate
Good condition,464,Plaza Doctor Diego Whittaker,6355.8955715,Lawn Park,0.06726731359958649,0.030892929062247276,0.09816024266183376,0.6845832228512748,0.3143990715407291,High Woody Cover,PLAZA,LA CISTERNA,19.200000762939453,31.15349578857422,28.737201690673828,0.64,7,1,8,NA,4.5,P2 — Grass + Hot
