park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,condition,clase,comuna,temp_am_c,temp_af_c,temp_pm_c,area_ha,stgohot_decile_mean,woody_decile,temp_decile,length_decile,priority_score,sampling_priority
308,PARQUE ALFREDO ARTEAGA,6708.90486009,Urban Park,0.07283521443605423,0.024582205340266228,0.09741741977632046,0.7468943969510189,0.25208014523611677,High Woody Cover,Good condition,BANDEJON,LO BARNECHEA,17.301002502441406,30.814250946044922,28.71214485168457,0.67,6,8,2,NA,5,P3 — Forest + Cool
46,PARQUE LAS ROSAS,9103.51751354,Urban Park,0.0801159143447876,0.030855095013976097,0.1109710093587637,0.7213035589332772,0.27779611612525223,High Woody Cover,Good condition,VEREDA,CONCHALI,18.78404998779297,32.42158126831055,30.395679473876953,0.91,7,6,3,NA,4.5,P5 — Intermediate
89,PARQUE REPUBLICA,5658.54013646,Urban Park,0.07078008353710175,0.027111884206533432,0.09789196774363518,0.7223049517923278,0.2766745564030621,High Woody Cover,Good condition,PLAZA,MAIPU,18.437793731689453,31.284120559692383,28.60000228881836,0.57,7,6,3,NA,4.5,P5 — Intermediate
127,PARQUE DEL OFICIO,9823.50892837,Urban Park,0.11109776049852371,0.03827354311943054,0.14937130361795425,0.7432715030203217,0.256059472239949,High Woody Cover,NA,NA,NA,16.891332626342773,30.178197860717773,28.20340347290039,0.98,6,8,1,NA,4.5,P3 — Forest + Cool
283,PARQUE ESPERANZA,5844.12703589,Urban Park,0.07384868711233139,0.03046160563826561,0.104310292750597,0.7072931716486269,0.29174906837038284,High Woody Cover,Good condition,VEREDA,MAIPU,18.556041717529297,30.928991317749023,28.722993850708008,0.58,7,3,6,NA,4.5,P5 — Intermediate
303,PARQUE AZIMUT,7921.20300834,Urban Park,0.0688970685005188,0.029679717496037483,0.09857678599655628,0.6982094907603014,0.3007770996622577,High Woody Cover,Poor condition,PLAZA,PUDAHUEL,18.688337326049805,31.896284103393555,29.302248001098633,0.79,7,2,7,NA,4.5,P5 — Intermediate
327,PARQUE MAHUIDACHE,5100.82061029,Urban Park,0.0879812091588974,0.06082794815301895,0.14880915731191635,0.5908381374733411,0.4084903121545719,Mixed/Balanced,NA,NA,NA,18.320167541503906,31.745155334472656,28.7135009765625,0.51,7,1,8,NA,4.5,P2 — Grass + Hot
69,PARQUE ALEJANDRO SERANI,5119.83421882,Urban Park,0.0707489624619484,0.02786378562450409,0.09861274808645248,0.7167155593721953,0.28227140024610625,High Woody Cover,Good condition,PLAZA,VITACURA,17.814268112182617,31.597936630249023,29.86629295349121,0.51,7,5,3,NA,4,P5 — Intermediate
92,PARQUE SANTA ELENA,9194.48150323,Urban Park,0.07297170907258987,0.029781239107251167,0.10275294817984104,0.7094761050990678,0.2895516330283299,High Woody Cover,NA,NA,NA,18.766273498535156,31.184072494506836,28.67862892150879,0.92,7,4,4,NA,4,P5 — Intermediate
155,PARQUE GABRIEL PALMA,5917.57256826,Urban Park,0.06905888766050339,0.028906812891364098,0.09796570055186749,0.7042104147716537,0.2947698607024698,High Woody Cover,NA,NA,NA,18.938936233520508,32.5313720703125,29.806785583496094,0.59,7,3,5,NA,4,P5 — Intermediate
220,PARQUE ISABEL RIQUELME,5452.58745084,Urban Park,0.0601450614631176,0.025162411853671074,0.08530747331678867,0.7042130990110299,0.29461604326286583,High Woody Cover,NA,NA,NA,19.850255966186523,31.939619064331055,29.662612915039062,0.55,7,3,5,NA,4,P5 — Intermediate
276,PARQUE RAMIREZ,7858.81026025,Urban Park,0.07172853499650955,0.031108343973755836,0.10283687897026539,0.6968205730934317,0.30220795777907616,High Woody Cover,Good condition,PLAZA,MAIPU,18.170671463012695,31.63178253173828,28.41107177734375,0.79,7,2,6,NA,4,P5 — Intermediate
291,PARQUE JUAN PABLO II SECTOR NORTE,5450.78879104,Urban Park,0.06680861115455627,0.03123573400080204,0.09804434515535831,0.6807178859750003,0.31826320662038354,High Woody Cover,Good condition,PLAZA,PENALOLEN,19.40958023071289,32.45380783081055,29.734811782836914,0.55,7,1,7,NA,4,P5 — Intermediate
305,PARQUE ESTERO EL GUINDO,5823.26312706,Urban Park,0.09046196192502975,0.034576065838336945,0.1250380277633667,0.7228974560482236,0.2763034263550928,High Woody Cover,Good condition,PLAZA,LO BARNECHEA,17.07742691040039,30.466218948364258,28.399999618530273,0.58,6,6,2,NA,4,P5 — Intermediate
133,PARQUE BICENTENARIO,5354.95036984,Urban Park,0.08061636984348297,0.03155618906021118,0.11217255890369415,0.7180416179222794,0.28106769248289465,High Woody Cover,NA,NA,NA,17.82662010192871,30.340471267700195,28.618896484375,0.54,6,6,1,NA,3.5,P5 — Intermediate
179,PARQUE MÓNACO,6546.53234652,Urban Park,0.06895066797733307,0.02961585856974125,0.09856652654707432,0.6988253300316226,0.3001611550155398,High Woody Cover,Good condition,PLAZA,LA FLORIDA,18.334081649780273,31.496706008911133,28.62369155883789,0.65,7,2,5,NA,3.5,P5 — Intermediate
181,PARQUE IGNACIO CARRERA PINTO,7807.29645544,Urban Park,0.07770273089408875,0.03342626988887787,0.11112900078296661,0.6985833761619836,0.3005175777322698,High Woody Cover,Good condition,PARQUE,LA FLORIDA,18.88062858581543,31.323823928833008,28.846267700195312,0.78,7,2,5,NA,3.5,P5 — Intermediate
