park_id,name,greenspace_type,comuna,area_ha,area_m2,mean_woody,mean_grass,woody_ratio,grass_ratio,structure_cat,temp_am_c,temp_af_c,temp_pm_c,stgohot_decile_mean,condition,clase,woody_decile,temp_decile,priority_score,sampling_priority
31,PARQUE AUGUSTO ERRAZURIZ,Urban Park,PROVIDENCIA,1.02,10217.37242069,0.08624159544706345,0.036134667694568634,0.704149467291742,0.29503404796717503,High Woody Cover,19.727989196777344,32.85172653198242,29.932796478271484,NA,Good condition,PLAZA,3,NA,NA,P5 — Intermediate
33,PARQUE LEIVA OPAZO,Urban Park,NA,2.72,27249.91672197,NA,NA,NA,NA,Mixed/Balanced,NA,NA,NA,NA,NA,NA,NA,NA,NA,P5 — Intermediate
34,PARQUE TEGUALDA,Urban Park,NA,6.08,60777.85104587,NA,NA,NA,NA,Mixed/Balanced,NA,NA,NA,NA,NA,NA,NA,NA,NA,P5 — Intermediate
35,"PARQUE METROPOLITANO SUR, CERROS DE CHENA",Urban Park,NA,29.64,296402.50805149,0.3679787814617157,0.0820276066660881,0.817537344875966,0.18224048542674112,High Woody Cover,18.445602416992188,31.446359634399414,28.346359252929688,NA,NA,NA,10,NA,NA,P5 — Intermediate
37,PARQUE METROPOLITANO DE SANTIAGO,Urban Park,HUECHURABA,57.37,573707.21522856,0.5100200772285461,0.05193537473678589,0.9074195000602975,0.09240258155166743,High Woody Cover,19.720272064208984,31.66522789001465,30.258211135864258,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
38,PARQUE METROPOLITANO DE SANTIAGO,Urban Park,PROVIDENCIA,157.36,1573622.46812685,0.4890455901622772,0.042088404297828674,0.9205841404394596,0.07922761859508483,High Woody Cover,20.05418586730957,31.647064208984375,29.631044387817383,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
39,PARQUE METROPOLITANO DE SANTIAGO,Urban Park,VITACURA,79.74,797447.76119111,0.5569935441017151,0.04624291509389877,0.9231889364755372,0.07664531852683196,High Woody Cover,19.934885025024414,31.6528377532959,30.11005210876465,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
40,PARQUE MACUL ORIENTE,Urban Park,MACUL,2.77,27701.86523277,0.07103490829467773,0.029509376734495163,0.7058017082051649,0.2932046934005397,High Woody Cover,18.74728012084961,32.356895446777344,29.499130249023438,NA,Good condition,PLAZA,4,NA,NA,P5 — Intermediate
41,PARQUE CERRO NAVIA,Urban Park,CERRO NAVIA,2.54,25417.58019423,0.07616309821605682,0.03117804042994976,0.7088820834912818,0.2901871743250424,High Woody Cover,18.715917587280273,31.810699462890625,29.602148056030273,NA,Good condition,PARQUE,5,NA,NA,P5 — Intermediate
43,PARQUE DEL RIO MAPOCHO/ SECTOR BORDE RIO,Urban Park,VITACURA,2.52,25208.20516722,0.13002416491508484,0.04061207175254822,0.7615499055903339,0.23786439566198522,High Woody Cover,17.818199157714844,31.598506927490234,29.025745391845703,NA,Good condition,PLAZA,9,NA,NA,P5 — Intermediate
45,PARQUE BATALLON DE CHACABUCO,Urban Park,NA,1.38,13837.57265235,0.08935493975877762,0.030804593116044998,0.7430175190501247,0.25615094603859223,High Woody Cover,18.517269134521484,30.99376678466797,28.395950317382812,NA,NA,NA,9,NA,NA,P5 — Intermediate
55,PARQUE LA BANDERA,Urban Park,SAN RAMON,1.46,14583.88627833,0.07206138223409653,0.030318016186356544,0.7031792081608702,0.29584498595481223,High Woody Cover,18.977737426757812,31.610734939575195,28.947097778320312,NA,Good condition,PARQUE,3,NA,NA,P5 — Intermediate
57,PARQUE GERMAN PICA CANAS SECTOR NORTE,Urban Park,NUNOA,2.39,23875.85571129,0.06729935109615326,0.030069950968027115,0.6904671488448622,0.30850688710407537,High Woody Cover,19.792951583862305,31.906442642211914,29.673015594482422,NA,Good condition,PLAZA,2,NA,NA,P5 — Intermediate
59,PARQUE EL TRAPICHE,Urban Park,NA,22.19,221911.58280108,NA,NA,NA,NA,Mixed/Balanced,17.482229232788086,31.01141357421875,28.591529846191406,NA,NA,NA,NA,NA,NA,P5 — Intermediate
61,PARQUE RAMON CRUZ,Urban Park,NUNOA,2.47,24676.14488094,0.07518582791090012,0.0312358345836401,0.7058266473709399,0.29323457644346373,High Woody Cover,18.75547218322754,32.2335319519043,29.75135040283203,NA,Good condition,PLAZA,4,NA,NA,P5 — Intermediate
62,PARQUE PORTAL BICENTENARIO,Urban Park,CERRILLOS,56.08,560800.42458125,0.146789088845253,0.06284632533788681,0.6998774594979824,0.29964574930111587,High Woody Cover,18.41761016845703,30.982524871826172,28.244110107421875,NA,Poor condition,PARQUE,3,NA,NA,P5 — Intermediate
63,PARQUE MUNICIPAL LO ERRAZURIZ,Urban Park,CERRILLOS,2.58,25776.45700302,0.15366405248641968,0.042139794677495956,0.7843850680372128,0.2151044774645848,High Woody Cover,18.990707397460938,31.177364349365234,28.405010223388672,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
67,PARQUE BICENTENARIO 2 ETAPA,Urban Park,VITACURA,14.28,142821.09027078,0.15823453664779663,0.08641525357961655,0.6465155148887788,0.35307590457717014,High Woody Cover,19.38929557800293,31.00118637084961,29.552946090698242,NA,Poor condition,PARQUE,1,NA,NA,P5 — Intermediate
70,PARQUE LAS AMERICAS,Urban Park,CONCHALI,1.64,16447.36883432,0.08302462100982666,0.03604276850819588,0.6967058802380685,0.30245496401299343,High Woody Cover,18.514623641967773,32.367218017578125,30.120059967041016,NA,Poor condition,PLAZA,2,NA,NA,P5 — Intermediate
71,PARQUE LAS INDUSTRIAS,Urban Park,CONCHALI,1.68,16810.53453495,0.07292374223470688,0.030589770525693893,0.7038053270458853,0.2952295478721068,High Woody Cover,18.50002098083496,32.38661575317383,30.126407623291016,NA,Good condition,PLAZA,3,NA,NA,P5 — Intermediate
73,PARQUE CUAUCTEMOC,Urban Park,VITACURA,2.45,24506.47696543,0.08800892531871796,0.03758784383535385,0.7001685557314662,0.2990358788719609,High Woody Cover,17.47934913635254,31.1744384765625,29.20389747619629,NA,Good condition,PARQUE,3,NA,NA,P5 — Intermediate
77,PARQUE SAN MIGUEL,Urban Park,NA,6.45,64459.35981828,NA,NA,NA,NA,Mixed/Balanced,NA,NA,NA,NA,NA,NA,NA,NA,NA,P5 — Intermediate
78,PARQUE DEL RÍO,Urban Park,NA,1.74,17350.7918556,NA,NA,NA,NA,Mixed/Balanced,NA,NA,NA,NA,NA,NA,NA,NA,NA,P5 — Intermediate
